epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3594,2.03582,1.73073,12.0922,1.28603,0.31255,0.5,0.29,0.13258,0.31255,0.5,0.29,0.19467,1.52838,1.01162,5.82453,1.20992,2e-05,2e-05,2e-05
2,66.6355,1.49583,1.02706,5.07008,1.21044,0.48036,0.94107,0.4975,0.398,0.58634,1,0.66333,0.47675,0.61694,0.87381,12.1198,1.21138,5.9406e-05,5.9406e-05,5.9406e-05
3,98.0212,0.92833,0.76374,3.28673,1.32796,0.44345,1,0.4975,0.41042,0.50861,1,0.82833,0.40669,0.58068,0.75868,7.70664,0.94337,9.802e-05,9.802e-05,9.802e-05
4,138.185,0.43865,0.4591,2.41609,0.9155,0.89282,1,0.995,0.84554,0.89282,1,0.995,0.71092,0.62256,0.70873,9.27375,0.77861,0.000135842,0.000135842,0.000135842
5,179.242,0.88836,0.76455,1.49234,0.86378,0.91846,1,0.995,0.84554,0.91846,1,0.995,0.82054,0.39567,0.62607,9.38776,0.7546,0.000172872,0.000172872,0.000172872
6,219.897,0.58226,0.50209,2.00446,0.99399,0.96429,1,0.995,0.796,0.96429,1,0.995,0.64928,0.70654,0.6212,7.53221,0.75178,0.00020911,0.00020911,0.00020911
7,260.196,0.58268,0.35561,2.21484,1.00798,0.72172,1,0.995,0.61346,0.72172,1,0.995,0.51518,0.67544,0.82686,5.91782,1.19718,0.000244556,0.000244556,0.000244556
8,299.785,0.77633,0.34834,1.70106,1.01467,0.45635,1,0.995,0.72129,0.45635,1,0.995,0.70875,1.39711,1.1136,14.6871,1.55314,0.00027921,0.00027921,0.00027921
9,341.41,1.13315,0.9947,2.85847,1.08886,0.28328,1,0.995,0.62179,0.28328,1,0.995,0.6879,1.53434,0.99492,15.0377,1.46681,0.000313072,0.000313072,0.000313072
10,385.193,0.82815,0.86207,1.89567,1.1276,0.32227,1,0.995,0.74609,0.32227,1,0.995,0.84559,0.98075,0.93335,13.3922,1.0956,0.000346142,0.000346142,0.000346142
11,438.652,0.75148,0.55345,1.56264,0.96489,1,1,0.995,0.84513,1,1,0.995,0.81171,1.055,1.03866,16.2571,0.9051,0.00037842,0.00037842,0.00037842
12,500.332,0.83604,0.68276,2.0777,1.12299,0.49594,0.5,0.62,0.53308,0.49594,0.5,0.62,0.58263,0.87693,0.80996,6.60211,0.9801,0.000409906,0.000409906,0.000409906
13,559.57,0.69147,0.37351,1.5147,1.07262,0.61686,1,0.66333,0.51392,0.61686,1,0.66333,0.45519,0.84642,0.77288,4.23777,1.398,0.0004406,0.0004406,0.0004406
14,604.709,0.68752,0.40387,1.17724,0.84085,0.63981,1,0.995,0.79644,0.63981,1,0.995,0.69829,0.86301,0.85493,5.5764,1.63939,0.000470502,0.000470502,0.000470502
15,645.832,0.32997,0.58655,2.72876,0.49791,0.62465,1,0.995,0.74558,0.62465,1,0.995,0.63038,0.8302,1.07352,6.23741,1.56242,0.000499612,0.000499612,0.000499612
16,686.281,0.5405,0.61376,1.14407,0.90886,0.50616,1,0.995,0.79559,0.50616,1,0.995,0.69705,0.77635,1.2145,9.75827,1.57555,0.00052793,0.00052793,0.00052793
17,726.294,0.62308,0.59607,0.78095,0.96807,0.74524,1,0.995,0.79559,0.74524,1,0.995,0.65033,0.75841,1.58005,8.37185,1.47551,0.000555456,0.000555456,0.000555456
18,768.644,0.62944,0.41866,1.04575,0.8908,0.06641,0.5,0.0753,0.06478,0.06641,0.5,0.0753,0.05853,0.82125,1.47516,11.5381,1.46579,0.00058219,0.00058219,0.00058219
19,808.643,0.67813,0.42322,0.95202,1.03509,0.67373,0.5,0.60611,0.52832,0.67373,0.5,0.60611,0.48489,0.85428,1.39706,9.08951,1.48361,0.000608132,0.000608132,0.000608132
20,852.289,0.33889,0.32152,2.22043,0.47938,1,0.93283,0.995,0.67983,1,0.93283,0.995,0.69718,0.88268,0.96494,8.50445,1.97834,0.000633282,0.000633282,0.000633282
21,894.699,2.64108,1.38217,2.03975,1.69325,0.63857,1,0.82833,0.54654,0.63857,1,0.82833,0.49798,0.84509,0.70917,4.09988,2.09796,0.00065764,0.00065764,0.00065764
22,936.237,0.3677,0.33518,2.88618,0.46004,0.64233,1,0.82833,0.46367,0.64233,1,0.82833,0.41351,1.30732,0.73522,4.40361,2.28627,0.000681206,0.000681206,0.000681206
23,985.19,0.56897,0.3417,0.95482,1.08551,0.21895,0.5,0.35861,0.11707,0.24349,1,0.3725,0.10832,1.77766,0.82212,4.35595,2.69558,0.00070398,0.00070398,0.00070398
24,1027.64,1.03788,2.89221,1.02286,0.92977,0.20666,1,0.4475,0.29625,0.20666,1,0.4475,0.30138,1.55538,0.96069,9.78791,2.13522,0.000725962,0.000725962,0.000725962
25,1067.34,0.82998,0.52898,0.78066,0.90744,0.11329,1,0.14214,0.08224,0.11329,1,0.14214,0.092,1.34606,0.91498,40.3262,2.0726,0.000747152,0.000747152,0.000747152
26,1107.31,0.78678,0.84448,0.93477,0.91587,0.04867,1,0.04975,0.03686,0.05639,1,0.06219,0.03709,1.01745,0.87794,126.76,1.63452,0.00076755,0.00076755,0.00076755
27,1148.25,0.66848,0.44208,0.97327,0.86312,0.01809,1,0.01932,0.01189,0.01809,1,0.01932,0.00996,1.2555,0.89691,435.947,1.56622,0.000787156,0.000787156,0.000787156
28,1187.87,1.02652,0.38318,0.88163,1.30403,0.01809,1,0.01932,0.01189,0.01809,1,0.01932,0.00996,1.2555,0.89691,435.947,1.56622,0.00080597,0.00080597,0.00080597
29,1227.71,0.64752,0.55386,0.80431,1.0551,0.01436,1,0.01658,0.00834,0.01436,1,0.01793,0.00994,1.25341,0.86434,607.065,1.64035,0.000823992,0.000823992,0.000823992
30,1267.99,0.78769,0.51462,0.96096,0.97425,0.01406,1,0.01701,0.01093,0.0202,1,0.02341,0.01624,1.25694,0.91829,495.361,1.75109,0.000841222,0.000841222,0.000841222
31,1307.51,0.87466,1.16233,1.20422,1.03137,0.01406,1,0.01701,0.01093,0.0202,1,0.02341,0.01624,1.25694,0.91829,495.361,1.75109,0.00085766,0.00085766,0.00085766
32,1347.39,0.85932,0.6283,1.03368,1.03241,0.03013,1,0.03317,0.023,0.03013,1,0.03317,0.01899,1.22945,1.02868,52.3059,1.71568,0.000873306,0.000873306,0.000873306
33,1387.02,0.89618,1.26758,1.18203,0.95111,0.93763,1,0.995,0.69617,0.93763,1,0.995,0.64716,1.13586,0.93436,1.73081,1.67579,0.00088816,0.00088816,0.00088816
34,1427.18,0.952,0.43437,1.05489,1.56859,0.93763,1,0.995,0.69617,0.93763,1,0.995,0.64716,1.13586,0.93436,1.73081,1.67579,0.000902222,0.000902222,0.000902222
35,1466.74,0.85352,0.49097,0.70655,0.96596,0.49444,1,0.745,0.39315,0.49444,1,0.745,0.34875,1.66298,1.13028,4.05892,1.74581,0.000915492,0.000915492,0.000915492
36,1506.6,0.91178,0.49377,0.75749,0.90222,0.48603,1,0.995,0.59283,0.48603,1,0.995,0.58069,1.13802,0.87394,7.31583,2.0115,0.00092797,0.00092797,0.00092797
37,1546.83,0.7631,0.44322,1.17315,1.14185,0.48603,1,0.995,0.59283,0.48603,1,0.995,0.58069,1.13802,0.87394,7.31583,2.0115,0.000939656,0.000939656,0.000939656
38,1587.27,1.07258,0.75257,0.86928,1.07527,0.94381,0.5,0.57192,0.34494,0.94381,0.5,0.57192,0.36743,1.32033,1.02743,3.09547,2.23988,0.00095055,0.00095055,0.00095055
39,1627.38,0.61907,0.77949,1.076,0.9263,0.99096,1,0.995,0.75446,0.99096,1,0.995,0.76283,1.59051,0.85929,1.68491,1.8938,0.000960652,0.000960652,0.000960652
40,1668.1,1.3965,1.44306,1.79806,1.1179,0.99096,1,0.995,0.75446,0.99096,1,0.995,0.76283,1.59051,0.85929,1.68491,1.8938,0.000969962,0.000969962,0.000969962
41,1711.92,0.3715,0.27141,0.80572,0.4857,0.96325,1,0.995,0.64675,0.96325,1,0.995,0.65917,1.35312,2.10709,2.04453,2.2194,0.00097848,0.00097848,0.00097848
42,1755.45,0.70788,0.70851,0.70138,1.14591,0.79456,1,0.995,0.62507,0.79456,1,0.995,0.63247,1.07491,2.82925,3.29462,1.85839,0.000986206,0.000986206,0.000986206
43,1798.13,0.66716,0.35007,0.96353,0.9645,0.79456,1,0.995,0.62507,0.79456,1,0.995,0.63247,1.07491,2.82925,3.29462,1.85839,0.00099314,0.00099314,0.00099314
